trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,7,9.969592596402801,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.30282250574923,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,7,-30.3756879440038,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-43.69531479772626,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-93.26779684970688,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-79.29552435833014,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,11,-34.14492378324121,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-94.02852575430904,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-43.26556308370946,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,16,-0.900622962052473,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-110.62508541825095,"{0: 25, 1: 0, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,20,-34.66928392866768,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,1,-199.71149442850532,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 4}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-73.89817310559934,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-46.98147287390925,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,-44.291929454486954,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,-17.518595695391518,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.074151850644384,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,-60.18093275205076,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,6,-53.52230148384204,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",35,12,26.530103651278086,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,4.742275083410498,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-15.153620708118998,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,2,-109.76401325003334,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",20,10,-32.55364454690779,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,3,-163.76292725620505,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 4}",1
7,True,"{'a': 0, 'e': 0}",20,0,18.617777657733697,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,6,-33.74925274820905,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,9,8.655661549630397,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-156.17998487571282,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
