trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",35,0,-138.62321847653087,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,9,-84.11394276359881,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-47.49833710846721,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-79.74623630106318,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-151.02096144060243,"{0: 11, 1: 3, 2: 7, 3: 4, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-42.35744488142118,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,15,-13.49612430155793,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-148.63678292263194,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-92.91559220623171,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-178.17137773968102,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-85.09796097260882,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,7,-112.43805392443595,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-186.60872745771573,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-82.62513076094876,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-79.73027642781602,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-143.6717414913029,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-154.76885357511335,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-141.39147488085905,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-71.47465627256548,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-78.27457491392633,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-126.93224478419512,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
