trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.45610290709259,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.86557619340986,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.6536424008835,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.68389739077023,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.43511149778422,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.73563807046129,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.6026981416125,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.56852600200284,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-247.93694689716642,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.35897523717742,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.1377725678904,"{0: 13, 1: 3, 2: 12, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.30904860388749,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.98075254908237,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.99475367264999,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.07506857489952,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.9787756730521,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.4839731817334,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.52381530870622,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.9853939221027,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.88254093697267,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.54204295895738,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-62.54547688679852,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.72795768207807,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-189.96132635341087,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-94.79858687489784,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-100.10548505614221,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,11,-32.449660619200436,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.66906234389998,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.07792912883462,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,8,-116.40081868946777,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 2}",1
